display  D   display_settings.c:388  _al_score_display_settings       [   0.44492] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44494] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44496] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44498] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44500] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44502] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44504] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44506] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44508] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44510] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.44512] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44514] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.44517] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44518] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44521] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44522] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44525] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44527] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44529] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44531] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44533] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44535] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44537] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44539] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44541] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44543] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44545] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44547] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.44549] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44551] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.44554] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44556] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44558] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44560] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44562] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44564] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44566] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44568] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44570] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44572] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44574] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44576] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44578] Single Buffer requirement not met.
